video_id,title,region_code,release_date,channel,views_num,likes_num,commentCount,views,likes
hH75fQ3SVO8,"Oliver Anthony on the Unexpected Success and Backlash from ""Rich Men North of Richmond""",US,2023-08-30 17:18,PowerfulJRE,2861140,77951,7.37K,2.86M,77.95K
l6kp780S-os,ONE PIECE | Final Trailer | Netflix,US,2023-08-30 13:00,Netflix,2214179,104841,9.06K,2.21M,104.84K
cQZBxqmKLYs,"Game Theory: FNAF, Bonnie's Haunted Past (Security Breach Ruin)",US,2023-08-29 20:30,The Game Theorists,2381326,145257,7.07K,2.38M,145.26K
T16T-odokVk,Brawl Stars Animation - Charging up to the Max!,US,2023-08-30 08:00,Brawl Stars,2822147,137426,8.37K,2.82M,137.43K
Y-SnB10ihD4,Melting Every Soap From Whole Foods Together,US,2023-08-30 00:17,Safiya Nygaard,1177872,78872,29.80K,1.18M,78.87K
vq4hRDnGbDY,Jack Harlow - Denver [Official Music Video],US,2023-08-30 16:00,Jack Harlow,184573,21531,1.31K,0.18M,21.53K
KZHxT2yb2cE,FERRARI - Official Teaser Trailer - In Theaters Christmas,US,2023-08-30 13:00,NEON,1505679,9800,0.88K,1.51M,9.80K
HrjB_QYVGp8,Buying the weirdest cat toys on the internet,US,2023-08-29 18:34,Drew Gooden,1295378,108186,5.25K,1.30M,108.19K
bzVTONHA5h4,Feeding Frenzy | Briar Cinematic - League of Legends,US,2023-08-30 15:00,League of Legends,994847,58509,4.69K,0.99M,58.51K
dnm7oH-7beE,Meet the Ladies of The Golden Bachelor - Series Premiere THURS SEPT 28 on ABC,US,2023-08-30 16:05,Bachelor Nation on ABC,450439,978,0.34K,0.45M,0.98K
WABSoIK2i48,"Erling Haaland Predicts KSI Loss, Winning Premier League, Dillon Danis vs Logan Paul - 392",GB,2023-08-29 18:56,IMPAULSIVE,1553020,67390,2.77K,1.55M,67.39K
5ojnY0pXy1o,FINALLY ADDRESSING THE HATE...,GB,2023-08-29 17:00,Miniminter,857314,44414,0.65K,0.86M,44.41K
pGcah63piDM,Digga D x Sav’O x Ty x Rack5 x Horrid1 x MSkum x Dodgy x ZK - Bluuwuu 2,GB,2023-08-29 19:02,Digga D TV,207129,14138,1.10K,0.21M,14.14K
T16T-odokVk,Brawl Stars Animation - Charging up to the Max!,GB,2023-08-30 08:00,Brawl Stars,2822147,137426,8.37K,2.82M,137.43K
cQZBxqmKLYs,"Game Theory: FNAF, Bonnie's Haunted Past (Security Breach Ruin)",GB,2023-08-29 20:30,The Game Theorists,2381326,145257,7.07K,2.38M,145.26K
qAKJdj6hH-o,PENALTIES?! | Fulham v Tottenham Hotspur Carabao Cup extended highlights,GB,2023-08-29 22:53,EFL,1178630,13585,0.89K,1.18M,13.59K
o7nbwg3xL1U,NAMING OUR NEW PUPPY OUT OF A HAT w/ the Norris Nuts,GB,2023-08-30 07:30,Norris Nuts Do Stuff,383601,10989,2.06K,0.38M,10.99K
Y-SnB10ihD4,Melting Every Soap From Whole Foods Together,GB,2023-08-30 00:17,Safiya Nygaard,1177872,78872,29.80K,1.18M,78.87K
1WVRmKcjCOM,Beating Minecraft With a SHARED Account,GB,2023-08-29 17:00,Grian,759180,58206,2.47K,0.76M,58.21K
j5pPWGv_Ivo,Caps - Haare Haare (Official Music Video) (ProdByCJ),GB,2023-08-29 16:00,5starcaps,85571,5787,0.32K,0.09M,5.79K
hH75fQ3SVO8,"Oliver Anthony on the Unexpected Success and Backlash from ""Rich Men North of Richmond""",CA,2023-08-30 17:18,PowerfulJRE,2861140,77951,7.37K,2.86M,77.95K
T16T-odokVk,Brawl Stars Animation - Charging up to the Max!,CA,2023-08-30 08:00,Brawl Stars,2822147,137426,8.37K,2.82M,137.43K
l6kp780S-os,ONE PIECE | Final Trailer | Netflix,CA,2023-08-30 13:00,Netflix,2214179,104841,9.06K,2.21M,104.84K
Y-SnB10ihD4,Melting Every Soap From Whole Foods Together,CA,2023-08-30 00:17,Safiya Nygaard,1177872,78872,29.80K,1.18M,78.87K
WABSoIK2i48,"Erling Haaland Predicts KSI Loss, Winning Premier League, Dillon Danis vs Logan Paul - 392",CA,2023-08-29 18:56,IMPAULSIVE,1553020,67390,2.77K,1.55M,67.39K
2Ow3Iwi-E3k,Jordan Sandhu - Nimm Thalle (Official Video) | Latest Punjabi Songs 2023 | New Punjabi Songs 2023,CA,2023-08-30 04:30,Speed Records,1288892,30575,1.38K,1.29M,30.57K
Qmap0C1vpEU,WARNING: ROBLOX HAS A VIRUS...,CA,2023-08-30 17:12,KreekCraft,818241,33484,9.04K,0.82M,33.48K
jHCsauMyJk0,Our Flag Means Death Season 2 | Official Teaser | Max,CA,2023-08-30 17:01,Max,169699,13048,0.85K,0.17M,13.05K
bzVTONHA5h4,Feeding Frenzy | Briar Cinematic - League of Legends,CA,2023-08-30 15:00,League of Legends,994847,58509,4.69K,0.99M,58.51K
HrjB_QYVGp8,Buying the weirdest cat toys on the internet,CA,2023-08-29 18:34,Drew Gooden,1295378,108186,5.25K,1.30M,108.19K
T16T-odokVk,Brawl Stars Animation - Charging up to the Max!,DE,2023-08-30 08:00,Brawl Stars,2822147,137426,8.37K,2.82M,137.43K
bBRsvnYWLvA,Dank Icardi & Angeliño: Gala zurück in der Champions League | Galatasaray 2:1 Molde | Highlights,DE,2023-08-29 21:46,Prime Video Sport Deutschland,135046,1693,0.32K,0.14M,1.69K
Pxug-vcyjwk,MEIN NAME IST KNUSPERTOAST,DE,2023-08-29 15:18,Knuspertoast,262444,58514,5.67K,0.26M,58.51K
1mhqbcODbp4,Caravan Salon 2023 Kastenwagen-Hit aus Korea rollt in Düsseldorf an! Summit Forich Active,DE,2023-08-29 09:04,BIKEVANLIFE,258596,555,0.14K,0.26M,0.56K
M0c04xfBtyc,Stray Kids 『Social Path (feat. LiSA)』 Music Video,DE,2023-08-29 15:00,Stray Kids Japan Official YouTube,3490872,660077,52.00K,3.49M,660.08K
hv5qhsAoR9w,Abbruch Kernfusion: ITER vor dem Aus?,DE,2023-08-29 15:00,Breaking Lab,206109,8641,0.74K,0.21M,8.64K
H1FoWxB4hzs,ich weiß nicht (weiter),DE,2023-08-29 17:46,Kayla‘s Shyss,87940,11630,1.30K,0.09M,11.63K
HIPGRlfN3NU,"SPOILER: Yvonne erfährt, dass Laura lebt | GZSZ",DE,2023-08-28 18:15,"Gute Zeiten, schlechte Zeiten",275326,1347,0.10K,0.28M,1.35K
Zp-hr5RbCLs,Ich muss euch was Erzählen...,DE,2023-08-29 19:58,Rohaze,157627,14168,0.44K,0.16M,14.17K
NHAXgHrB9ek,Carlos Alcaraz vs. Dominik Koepfer Highlights | 2023 US Open Round 1,DE,2023-08-30 03:22,US Open Tennis Championships,456355,3035,0.39K,0.46M,3.04K
InGnxypZY7s,Happy Onam | Karikku | Comedy,IN,2023-08-29 09:00,Karikku,5616122,376852,12.20K,5.62M,376.85K
s1TBzhmt1vU,MC STΔN -  NUSTA PAISA  (Official Music Video) | 2023,IN,2023-08-30 06:30,MC STΔN,2650579,477833,48.07K,2.65M,477.83K
pTlA3XXXNG8,I am Going to Bigg Boss with Manisha Rani | 20 Million Subscribers Special QNA,IN,2023-08-29 12:30,Triggered Insaan,7563140,1137380,34.99K,7.56M,"1,137.38K"
ohS06vkHjLE,Jawan: Not Ramaiya Vastavaiya | Shah Rukh Khan | Atlee | Anirudh | Nayanthara | Vishal D | Shilpa R,IN,2023-08-29 08:29,T-Series,27627884,544070,40.81K,27.63M,544.07K
jasYgnLgaQg,Super11 Asia Cup 2023 | Match 1 Pakistan VS Nepal Highlights,IN,2023-08-30 18:49,Asian Cricket Council,1298851,37560,1.10K,1.30M,37.56K
T2iEMdgd934,MAKE JOKE OF ||MJO|| - PAPA VS BUA 2023 || Raksha Bandhan Special By Saurabh Shukla,IN,2023-08-29 14:56,Make Joke Of,3485905,249921,11.37K,3.49M,249.92K
186OYeTpHlU,Indian Girl Swapped Lives with Korean Girl 🇰🇷🇮🇳 ft. @KoreanG1p,IN,2023-08-30 06:15,Pragati Verma,1174638,52727,3.12K,1.17M,52.73K
OOsdV1pTXNQ,Happy Raksha Bandhan 2023 | Rakhi Festival | Khan Sir Raksha Bandhan,IN,2023-08-30 10:31,Khan GS Research Centre,3462633,336188,13.25K,3.46M,336.19K
tT4s-1A_4vw,NEW! Ep 3862 - Gokuldhamvasi vs Danger Bhai Gang?! | Taarak Mehta Ka Ooltah Chashmah | तारक मेहता,IN,2023-08-29 15:30,Taarak Mehta Ka Ooltah Chashmah,2229054,27358,0.72K,2.23M,27.36K
4R3H9CRX-tA,THE ULTIMATE CHALLENGES BATTLE,IN,2023-08-30 06:02,Homeys,1363945,165087,2.94K,1.36M,165.09K
